region,preproc,model,thresh,score
L,rawspectrogram,linear,0.00,0.335345
L,rawspectrogram,linear,0.25,0.349194
L,rawspectrogram,linear,0.50,0.339919
L,rawspectrogram,linear,0.75,0.339643
L,rawspectrogram,linear,1.00,0.326446
L,rawspectrogram,sepnl_spline,0.00,0.429181
L,rawspectrogram,sepnl_spline,0.25,0.428890
L,rawspectrogram,sepnl_spline,0.50,0.432920
L,rawspectrogram,sepnl_spline,0.75,0.431843
L,rawspectrogram,sepnl_spline,1.00,0.445344
L,rawspectrogram,sepnl_dists,0.00,0.425787
L,rawspectrogram,sepnl_dists,0.25,0.425367
L,rawspectrogram,sepnl_dists,0.50,0.428892
L,rawspectrogram,sepnl_dists,0.75,0.438671
L,rawspectrogram,sepnl_dists,1.00,0.440851
L,rawspectrogram,poisson,0.00,0.248046
L,rawspectrogram,poisson,0.25,0.265349
L,rawspectrogram,poisson,0.50,0.345336
L,rawspectrogram,poisson,0.75,0.350448
L,rawspectrogram,poisson,1.00,0.362021
L,rawspectrogram,binomial,0.00,0.072855
L,rawspectrogram,binomial,0.25,0.117492
L,rawspectrogram,binomial,0.50,0.357871
L,rawspectrogram,binomial,0.75,0.393491
L,rawspectrogram,binomial,1.00,0.405586
L,rawspectrogram,leglm,0.00,0.352828
L,rawspectrogram,leglm,0.25,0.368090
L,rawspectrogram,leglm,0.50,0.381056
L,rawspectrogram,leglm,0.75,0.395027
L,rawspectrogram,leglm,1.00,0.389213
L,lyons,linear,0.00,0.408662
L,lyons,linear,0.25,0.409663
L,lyons,linear,0.50,0.413676
L,lyons,linear,0.75,0.411874
L,lyons,linear,1.00,0.391821
L,lyons,sepnl_spline,0.00,0.488654
L,lyons,sepnl_spline,0.25,0.490168
L,lyons,sepnl_spline,0.50,0.488975
L,lyons,sepnl_spline,0.75,0.491162
L,lyons,sepnl_spline,1.00,0.465918
L,lyons,sepnl_dists,0.00,0.393207
L,lyons,sepnl_dists,0.25,0.422196
L,lyons,sepnl_dists,0.50,0.399889
L,lyons,sepnl_dists,0.75,0.460532
