unit,region,preproc,model,thresh,score,info_bound,num_iters,runtime
pupu2122_2_B,L,rawspectrogram,linear,0.00,0.335345,287.640000,1881.33,46308.84
pupu2122_2_B,L,rawspectrogram,linear,0.25,0.349194,287.640000,1015.80,7136.89
pupu2122_2_B,L,rawspectrogram,linear,0.50,0.339919,287.640000,542.80,3842.79
pupu2122_2_B,L,rawspectrogram,linear,0.75,0.339643,287.640000,199.00,1267.15
pupu2122_2_B,L,rawspectrogram,linear,1.00,0.326446,287.640000,159.93,784.21
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.00,0.429181,287.640000,1881.33,46308.84
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.25,0.428890,287.640000,1015.80,7136.89
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.50,0.432920,287.640000,542.80,3842.79
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.75,0.431843,287.640000,199.00,1267.15
pupu2122_2_B,L,rawspectrogram,sepnl_spline,1.00,0.445344,287.640000,159.93,784.21
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.00,0.425787,287.640000,1881.33,46308.84
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.25,0.425367,287.640000,1015.80,7136.89
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.50,0.428892,287.640000,542.80,3842.79
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.75,0.438671,287.640000,199.00,1267.15
pupu2122_2_B,L,rawspectrogram,sepnl_dists,1.00,0.440851,287.640000,159.93,784.21
pupu2122_2_B,L,rawspectrogram,poisson,0.00,0.248046,287.640000,631.53,5575.47
pupu2122_2_B,L,rawspectrogram,poisson,0.25,0.265349,287.640000,629.80,4444.92
pupu2122_2_B,L,rawspectrogram,poisson,0.50,0.345336,287.640000,637.40,4904.45
pupu2122_2_B,L,rawspectrogram,poisson,0.75,0.350448,287.640000,246.80,1652.77
pupu2122_2_B,L,rawspectrogram,poisson,1.00,0.362021,287.640000,126.53,769.04
pupu2122_2_B,L,rawspectrogram,binomial,0.00,0.072855,287.640000,1.20,204.61
pupu2122_2_B,L,rawspectrogram,binomial,0.25,0.117492,287.640000,194.60,1028.45
pupu2122_2_B,L,rawspectrogram,binomial,0.50,0.357871,287.640000,999.73,5761.69
pupu2122_2_B,L,rawspectrogram,binomial,0.75,0.393491,287.640000,380.33,1904.05
pupu2122_2_B,L,rawspectrogram,binomial,1.00,0.405586,287.640000,144.80,805.30
pupu2122_2_B,L,rawspectrogram,leglm,0.00,0.352828,287.640000,1161.27,7281.92
pupu2122_2_B,L,rawspectrogram,leglm,0.25,0.368090,287.640000,895.13,4688.06
pupu2122_2_B,L,rawspectrogram,leglm,0.50,0.381056,287.640000,429.27,2710.58
pupu2122_2_B,L,rawspectrogram,leglm,0.75,0.395027,287.640000,164.13,1013.92
pupu2122_2_B,L,rawspectrogram,leglm,1.00,0.389213,287.640000,128.60,833.51
pupu2122_2_B,L,lyons,linear,0.00,0.408662,287.640000,2156.40,142390.20
pupu2122_2_B,L,lyons,linear,0.25,0.409663,287.640000,553.93,3251.75
pupu2122_2_B,L,lyons,linear,0.50,0.413676,287.640000,641.60,4394.26
pupu2122_2_B,L,lyons,linear,0.75,0.411874,287.640000,332.87,1906.64
pupu2122_2_B,L,lyons,linear,1.00,0.391821,287.640000,240.33,1101.67
pupu2122_2_B,L,lyons,sepnl_spline,0.00,0.488654,287.640000,2156.40,142390.20
pupu2122_2_B,L,lyons,sepnl_spline,0.25,0.490168,287.640000,553.93,3251.75
pupu2122_2_B,L,lyons,sepnl_spline,0.50,0.488975,287.640000,641.60,4394.26
pupu2122_2_B,L,lyons,sepnl_spline,0.75,0.491162,287.640000,332.87,1906.64
pupu2122_2_B,L,lyons,sepnl_spline,1.00,0.465918,287.640000,240.33,1101.67
pupu2122_2_B,L,lyons,sepnl_dists,0.00,0.393207,287.640000,2156.40,142390.20
pupu2122_2_B,L,lyons,sepnl_dists,0.25,0.422196,287.640000,553.93,3251.75
pupu2122_2_B,L,lyons,sepnl_dists,0.50,0.399889,287.640000,641.60,4394.26
pupu2122_2_B,L,lyons,sepnl_dists,0.75,0.460532,287.640000,332.87,1906.64
pupu2122_2_B,L,lyons,sepnl_dists,1.00,0.463441,287.640000,240.33,1101.67
pupu2122_2_B,L,lyons,poisson,0.00,0.175211,287.640000,134.80,865.54
pupu2122_2_B,L,lyons,poisson,0.25,0.307245,287.640000,269.27,2246.94
pupu2122_2_B,L,lyons,poisson,0.50,0.355090,287.640000,360.80,2317.23
pupu2122_2_B,L,lyons,poisson,0.75,0.342807,287.640000,203.53,1048.11
pupu2122_2_B,L,lyons,poisson,1.00,0.325918,287.640000,129.80,836.26
pupu2122_2_B,L,lyons,binomial,0.00,0.153286,287.640000,278.13,1710.66
pupu2122_2_B,L,lyons,binomial,0.25,0.295497,287.640000,252.27,1610.06
pupu2122_2_B,L,lyons,binomial,0.50,0.320159,287.640000,317.27,1745.40
pupu2122_2_B,L,lyons,binomial,0.75,0.390633,287.640000,297.13,1465.06
pupu2122_2_B,L,lyons,binomial,1.00,0.374669,287.640000,132.33,759.58
pupu2122_2_B,L,lyons,leglm,0.00,0.369635,287.640000,661.13,4514.96
pupu2122_2_B,L,lyons,leglm,0.25,0.382229,287.640000,277.33,1511.97
pupu2122_2_B,L,lyons,leglm,0.50,0.386063,287.640000,246.33,1428.57
pupu2122_2_B,L,lyons,leglm,0.75,0.374753,287.640000,170.33,1115.12
pupu2122_2_B,L,lyons,leglm,1.00,0.357071,287.640000,110.00,595.23
pupu2122_2_B,L,surprise,linear,0.00,0.489907,287.640000,102.47,1018.96
pupu2122_2_B,L,surprise,linear,0.25,0.489746,287.640000,87.80,980.31
