unit,region,preproc,model,thresh,score
pupu2122_2_B,L,rawspectrogram,linear,0.00,0.335345
pupu2122_2_B,L,rawspectrogram,linear,0.25,0.349194
pupu2122_2_B,L,rawspectrogram,linear,0.50,0.339919
pupu2122_2_B,L,rawspectrogram,linear,0.75,0.339643
pupu2122_2_B,L,rawspectrogram,linear,1.00,0.326446
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.00,0.429181
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.25,0.428890
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.50,0.432920
pupu2122_2_B,L,rawspectrogram,sepnl_spline,0.75,0.431843
pupu2122_2_B,L,rawspectrogram,sepnl_spline,1.00,0.445344
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.00,0.425787
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.25,0.425367
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.50,0.428892
pupu2122_2_B,L,rawspectrogram,sepnl_dists,0.75,0.438671
pupu2122_2_B,L,rawspectrogram,sepnl_dists,1.00,0.440851
pupu2122_2_B,L,rawspectrogram,poisson,0.00,0.248046
pupu2122_2_B,L,rawspectrogram,poisson,0.25,0.265349
pupu2122_2_B,L,rawspectrogram,poisson,0.50,0.345336
pupu2122_2_B,L,rawspectrogram,poisson,0.75,0.350448
pupu2122_2_B,L,rawspectrogram,poisson,1.00,0.362021
pupu2122_2_B,L,rawspectrogram,binomial,0.00,0.072855
pupu2122_2_B,L,rawspectrogram,binomial,0.25,0.117492
pupu2122_2_B,L,rawspectrogram,binomial,0.50,0.357871
pupu2122_2_B,L,rawspectrogram,binomial,0.75,0.393491
pupu2122_2_B,L,rawspectrogram,binomial,1.00,0.405586
pupu2122_2_B,L,rawspectrogram,leglm,0.00,0.352828
pupu2122_2_B,L,rawspectrogram,leglm,0.25,0.368090
pupu2122_2_B,L,rawspectrogram,leglm,0.50,0.381056
pupu2122_2_B,L,rawspectrogram,leglm,0.75,0.395027
pupu2122_2_B,L,rawspectrogram,leglm,1.00,0.389213
pupu2122_2_B,L,lyons,linear,0.00,0.408662
pupu2122_2_B,L,lyons,linear,0.25,0.409663
pupu2122_2_B,L,lyons,linear,0.50,0.413676
pupu2122_2_B,L,lyons,linear,0.75,0.411874
pupu2122_2_B,L,lyons,linear,1.00,0.391821
pupu2122_2_B,L,lyons,sepnl_spline,0.00,0.488654
pupu2122_2_B,L,lyons,sepnl_spline,0.25,0.490168
pupu2122_2_B,L,lyons,sepnl_spline,0.50,0.488975
pupu2122_2_B,L,lyons,sepnl_spline,0.75,0.491162
pupu2122_2_B,L,lyons,sepnl_spline,1.00,0.465918
pupu2122_2_B,L,lyons,sepnl_dists,0.00,0.393207
pupu2122_2_B,L,lyons,sepnl_dists,0.25,0.422196
pupu2122_2_B,L,lyons,sepnl_dists,0.50,0.399889
pupu2122_2_B,L,lyons,sepnl_dists,0.75,0.460532
pupu2122_2_B,L,lyons,sepnl_dists,1.00,0.463441
pupu2122_2_B,L,lyons,poisson,0.00,0.175211
pupu2122_2_B,L,lyons,poisson,0.25,0.307245
pupu2122_2_B,L,lyons,poisson,0.50,0.355090
pupu2122_2_B,L,lyons,poisson,0.75,0.342807
pupu2122_2_B,L,lyons,poisson,1.00,0.325918
pupu2122_2_B,L,lyons,binomial,0.00,0.153286
pupu2122_2_B,L,lyons,binomial,0.25,0.295497
pupu2122_2_B,L,lyons,binomial,0.50,0.320159
pupu2122_2_B,L,lyons,binomial,0.75,0.390633
pupu2122_2_B,L,lyons,binomial,1.00,0.374669
pupu2122_2_B,L,lyons,leglm,0.00,0.369635
pupu2122_2_B,L,lyons,leglm,0.25,0.382229
pupu2122_2_B,L,lyons,leglm,0.50,0.386063
pupu2122_2_B,L,lyons,leglm,0.75,0.374753
pupu2122_2_B,L,lyons,leglm,1.00,0.357071
pupu2122_2_B,L,surprise,linear,0.00,0.489907
pupu2122_2_B,L,surprise,linear,0.25,0.489746
pupu2122_2_B,L,surprise,linear,0.50,0.488179
pupu2122_2_B,L,surprise,linear,0.75,0.488707
pupu2122_2_B,L,surprise,linear,1.00,0.482853
pupu2122_2_B,L,surprise,sepnl_spline,0.00,0.505438
pupu2122_2_B,L,surprise,sepnl_spline,0.25,0.504561
pupu2122_2_B,L,surprise,sepnl_spline,0.50,0.500630
pupu2122_2_B,L,surprise,sepnl_spline,0.75,0.500313
pupu2122_2_B,L,surprise,sepnl_spline,1.00,0.488107
pupu2122_2_B,L,surprise,sepnl_dists,0.00,0.499470
pupu2122_2_B,L,surprise,sepnl_dists,0.25,0.489252
pupu2122_2_B,L,surprise,sepnl_dists,0.50,0.489790
pupu2122_2_B,L,surprise,sepnl_dists,0.75,0.483239
pupu2122_2_B,L,surprise,sepnl_dists,1.00,0.482747
pupu2122_2_B,L,surprise,poisson,0.00,0.277595
pupu2122_2_B,L,surprise,poisson,0.25,0.281330
pupu2122_2_B,L,surprise,poisson,0.50,0.283402
pupu2122_2_B,L,surprise,poisson,0.75,0.291610
pupu2122_2_B,L,surprise,poisson,1.00,0.343359
pupu2122_2_B,L,surprise,binomial,0.00,0.324786
pupu2122_2_B,L,surprise,binomial,0.25,0.324807
pupu2122_2_B,L,surprise,binomial,0.50,0.334062
