Cell		      Info		   Rate		   Region
pupu2122.2_B	293.883735	28.83795	   sure L2a
yy1617.4_A	   233.490302	9.455177	   sure MLd
oo2015.9_A	   201.8605	   15.38956	   sure L2a
blublu0809.2_B	187.191364	25.758969	sure CM
gg0116.1_A	   189.13896	10.363212	sure MLd
yy1617.5_B	   145.26837	29.287737	maybe L2a
oo1920.6_B	   140.984711	15.79072	   sure L
oo0909.2_A	   133.897133	13.871007	sure MLd
ww1211.5_B	   130.918165	18.010018	maybe L2b
pupu0606.4_B	121.434215	12.823479	sure L3
g03.5_B		   114.869751	9.543812	   bengalese L
oo2015.6_A	   106.560561	17.843166	sure L
yy2728.4_B	   108.832234	22.383902	sure L2a
pupu1203.4_A	105.892312	23.299916	sure MLd
yy2728.7_B	   104.911744	12.719712	sure CM	
blabla1515.2_B	103.882562	18.171422	maybe L2a
yy0203.3_A	   99.846754	11.188864	sure L2b
gg0116.5_A	   96.245508	9.138808	   sure MLd
pipi1112.1_A	95.887493	30.512506	sure MLd
blublu0916.5_A	95.45606	   20.393943	sure MLd
blabla1515.7_B	92.062057	12.572392	sure L2a
pipi1112.2_A	91.435892	12.545311	sure MLd
yy0212.2_B	   87.233101	20.568645	sure CM
yy0203.6_A	   85.501914	18.385492	sure CM
blabla1904.1_A	84.434004	17.459159	sure MLd

